Asset Name,OS,huntress,microsoft-ad,sentinelone
bb-mr2015,b'Windows Server 2019 Standard', ,microsoft-ad, 
bb-sc-d1,b'Windows 10 Enterprise 19044',huntress,microsoft-ad,sentinelone
bb-sc-l3,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
bb-sl2015,b'Windows Server 2019 Standard', ,microsoft-ad, 
bb-sl2018,b'Windows Server 2019 Standard', ,microsoft-ad, 
bb-sql2014,b'Windows Server 2019 Datacenter', ,microsoft-ad, 
bb-sql2016,b'Windows Server 2019 Standard', ,microsoft-ad, 
bb-sql2019,b'Windows Server 2019 Standard', ,microsoft-ad, 
bb-web2015,b'Windows Server 2019 Standard', ,microsoft-ad, 
bb-web2018,b'Windows Server 2019 Standard', ,microsoft-ad, 
bsi-autobuild,b'Windows Server 2019 Standard', ,microsoft-ad, 
bsi-aws-dc-01,b'Windows Server 2019 Datacenter 17763',huntress, ,sentinelone
bsi-aws-dc-02,b'Windows Server 2019 Datacenter 17763',huntress, ,sentinelone
bsi-rthomp-l1,b'Windows 11 Pro 22000',huntress,microsoft-ad,sentinelone
bsid-aws-iis-01,b'Windows Server 2019 Datacenter 17763',huntress, ,sentinelone
bsip-aws-cms-01,b'Windows Server 2019 Datacenter 17763',huntress, ,sentinelone
bsip-aws-iis-04,b'Windows Server 2019 Standard 17763',huntress, ,sentinelone
bsip-aws-sql-04,b'Windows Server 2019 Standard 17763',huntress, ,sentinelone
bsit-aws-cms-01,b'Windows Server 2019 Datacenter 17763',huntress, ,sentinelone
bsit-aws-iis-01,b'Windows Server 2019 Datacenter 17763',huntress, ,sentinelone
desktop-mr0si9i,b'Windows 11 Pro 22621',huntress, ,sentinelone
parker1,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
pbl-ajunkins-d1,b'Windows 10 Enterprise 19044',huntress,microsoft-ad,sentinelone
pbl-ajunkins-d2,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
pbl-ajunkins-l1,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
pbl-cgregory-l2,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
pbl-crawford-d1,b'Windows 10 Enterprise', ,microsoft-ad, 
pbl-crawford-l1,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
pbl-rellerbr-l3,b'Windows 10 Enterprise 19045',huntress, ,sentinelone
pbl-seyink-2015,b'Windows 10 Enterprise 19045',huntress,microsoft-ad,sentinelone
pbl-seyink-lap1,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
sc-ajunkins-l1,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
sc-ccrawford-d2,b'Windows 10 Enterprise 19045',huntress,microsoft-ad,sentinelone
sc-crawford-l1,b'Windows 10 Pro', ,microsoft-ad, 
sc-crawford-l1,b'Windows 10 Pro 19045', , ,sentinelone
sc-gburton-d1,b'Windows 10 Enterprise 19045',huntress,microsoft-ad,sentinelone
sc-gburton-l1,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
sc-it-d1,b'Windows 10 Enterprise LTSC 19044',huntress,microsoft-ad,sentinelone
sc-jbowles-l1,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
sc-mgmt-01,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
sc-schlenker-d1,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
sc-schlenker-l1,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
sc-sl-01dev2018,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sl-01sup2011,b'Windows Server 2012 R2 Standard', ,microsoft-ad, 
sc-sl-02dev2015,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sl-02sup2011,b'Windows Server 2012 R2 Standard', ,microsoft-ad, 
sc-sl-03dev2011,b'Windows Server 2012 R2 Standard', ,microsoft-ad, 
sc-sl-03sup2015,b'Windows Server 2016 Standard', ,microsoft-ad, 
sc-sl-04sup2015,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sl-05sup2018,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sl-schlhud,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sltst2011fp1,b'Windows Server 2012 R2 Standard', ,microsoft-ad, 
sc-sltst2011rtm,b'Windows Server 2012 R2 Standard', ,microsoft-ad, 
sc-sltst2018,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sltst2018mr,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sql-2008r2,b'Windows Server 2012 R2 Standard', ,microsoft-ad, 
sc-sql-2012,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sql-2014,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sql-2016,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sql-2017,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sql-2019,b'Windows Server 2019 Standard', ,microsoft-ad, 
scdev-dc-01,b'Windows Server 2019 Datacenter 17763',huntress, ,sentinelone
scdev-tfs-01,b'Windows Server 2019 Datacenter 17763',huntress, ,sentinelone
scit-bkup-01,b'Windows Server 2016 Standard 14393',huntress,microsoft-ad,sentinelone
sgibson-l2,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
solis-wrk,b'Windows Server 2019 Datacenter 17763',huntress,microsoft-ad,sentinelone
solomon-dc-01,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
solomon-dc-02,b'Windows Server 2022 Standard 20348',huntress,microsoft-ad,sentinelone
solomon-hhes,b'Windows Server 2012 R2 Standard 9600',huntress,microsoft-ad,sentinelone
trader-l4,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
trader04,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
