Asset Name,OS,huntress,microsoft-ad,sentinelone
apate,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
ar-dc01v,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
ar-dc02v,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
ar-fp01v,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
bbmapp,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
bbmapplab,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
bbmsql,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
bbmsqllab,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
coupons,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
desktop-h855aos,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
desktop-pohc67r,b'Windows 10 Pro 19045',huntress, ,sentinelone
desktop-q58ppjf,b'Windows 10 Pro 19045',huntress, ,sentinelone
desktop-qn6mbvl,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
desktop-s0l9aun,b'Windows 10 Pro',huntress,microsoft-ad, 
desktop-sj948fb,b'Windows 10 Pro 19045',huntress, ,sentinelone
desktop-sknrukl,b'Windows 10 Pro 19044',huntress, ,sentinelone
ft-planetpress,b'Windows 10 Pro 18362',huntress,microsoft-ad,sentinelone
fthq03lab-1,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
fthq03new,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
fthq1,b'Windows Server 2019 Standard 17763', ,microsoft-ad,sentinelone
fthq6,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
kmbs-test,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
laptop-hf2lq811,b'Windows 11 Pro 22000',huntress, ,sentinelone
laptop-rmnuvma7,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
laptop-s6s5h9ga,b'Windows 11 Pro 22621',huntress, ,sentinelone
lt-3mywgy,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
lt-3n2mvf,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
lt-4dsdd430,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
lt-5djbsje,b'Windows 10 Pro 19045',huntress, ,sentinelone
